Title,Distributor,ReleaseDate,DomesticSales,InternationalSales,WorldSales,MovieRuntime,License
X-Men (2000),Twentieth Century Fox,13-Jul-00,157299718,139039810,296339528,1 hr 44 min,PG-13
Scary Movie (2000),Miramax,7-Jul-00,157019771,121000000,278019771,1 hr 28 min,R
Who Framed Roger Rabbit (1988),Walt Disney Studios Motion Pictures,24-Jun-88,156452370,173351588,329803958,1 hr 44 min,NA
What Lies Beneath (2000),DreamWorks Distribution,21-Jul-00,155464351,135956000,291420351,2 hr 10 min,PG-13
X-Men: Apocalypse (2016),Twentieth Century Fox,18-May-16,155442489,388491616,543934105,2 hr 24 min,PG-13
The Mummy (1999),Universal Pictures,7-May-99,155385488,260547918,415933406,2 hr 4 min,PG-13
Snow White and the Huntsman (2012),Universal Pictures,30-May-12,155332381,241260448,396592829,2 hr 7 min,PG-13
San Andreas (2015),Warner Bros.,22-May-15,155190832,318818322,474009154,1 hr 54 min,PG-13
Fast & Furious (2009),Universal Pictures,2-Apr-09,155064265,205302605,360366870,1 hr 47 min,PG-13
Over the Hedge (2006),DreamWorks,NA,155019340,184776550,339795890,1 hr 23 min,NA
Fantastic Four (2005),Twentieth Century Fox,6-Jul-05,154696080,178839854,333535934,1 hr 46 min,PG-13
Horton Hears a Who! (2008),Twentieth Century Fox,12-Mar-08,154529439,144043360,298572799,1 hr 26 min,NA
Mad Max: Fury Road (2015),Warner Bros.,7-May-15,154058340,221600410,375658750,2 hr,R
Jerry Maguire (1996),Sony Pictures Entertainment (SPE),13-Dec-96,153952592,119600000,273552592,2 hr 19 min,R
Trolls (2016),Twentieth Century Fox,13-Oct-16,153707064,193157822,346864886,1 hr 32 min,PG
Scooby-Doo (2002),Warner Bros.,14-Jun-02,153294164,122356539,275650703,1 hr 29 min,PG
Cars 3 (2017),Walt Disney Studios Motion Pictures,NA,152901115,231029541,383930656,1 hr 42 min,NA
Sex and the City (2008),Warner Bros.,28-May-08,152647258,266118261,418765519,2 hr 25 min,R
Runaway Bride (1999),Paramount Pictures,30-Jul-99,152257509,157202783,309460292,1 hr 56 min,PG
La La Land (2016),Lionsgate,7-Dec-16,151101803,297805062,448906865,2 hr 8 min,PG-13
Divergent (2014),Lionsgate,20-Mar-14,150947895,137937923,288885818,2 hr 19 min,PG-13
We're the Millers (2013),Warner Bros.,29-Aug-12,150394119,119600000,269994119,1 hr 50 min,R
